,id,repo_id,contributor,contributions
0,,9754983,lor6,1401
561,,50904245,aaltay,1395
828,,20089857,Apache9,1395
2371,,21833183,EmmanuelMess,1392
10719,,569041,dfandrich,1392
606,,20773773,lberki,1384
279,,5793738,jbarrez,1382
844,,19369035,kanghj,1381
3735,,9759448,bfederle,1379
444,,75277003,volodymyr-babak,1377
607,,20773773,katre,1377
1836,,31006158,akuznetsov-gridgain,1370
8047,,101451042,gsantner,1369
1587,,49030451,GcsSloop,1369
3646,,17960746,shadowislord,1367
2994,,3743376,mwoodiupui,1360
2301,,1450115,slandelle,1356
3871,,124230204,micronaut-build,1355
8692,,79564911,AliveDevil,1354
2086,,12983151,teichsta,1350
543,,65987043,qmdx,1350
799,,44662669,LonwoLonwo,1347
241,,146633589,hengyunabc,1345
3461,,9504214,andrewjcg,1342
3110,,19961085,Jackie-Jiang,1338
794,,1272129,joschi,1335
3535,,18845024,lauraharker,1331
130,,64558143,Blankj,1328
687,,25459400,microwave,1325
1,,9754983,johnA1331,1318
3528,,50842053,zhanghai,1318
387,,149121954,jonathan-gibbons,1316
8744,,130612700,Querz,1310
608,,20773773,janakdr,1301
1024,,46398090,theseyi,1298
414,,5349565,martint,1297
562,,50904245,tgroh,1295
1046,,32848140,Leemoonsoo,1288
7487,,7481569,vladak,1288
1286,,17634071,tobiasdiez,1280
5076,,16446099,infeo,1276
812,,594155488,Frooodle,1274
1734,,2928948,alzimmermsft,1273
305,,11125589,edewit,1272
5797,,16621659,vyazelenko,1266
3448,,77385607,mbroecheler,1254
7399,,87859908,jonatan-ivanov,1249
5863,,15155534,GaneshSPatil,1247
3546,,2675355,jlerbsc,1241
7960,,172680589,zhkl0228,1240
2408,,7420937,zeropaper,1240
280,,5793738,tijsrademakers,1239
770,,961036,beikov,1237
591,,14135470,HeartSaVioR,1236
54,,159152904,zhangdaiscott,1229
295,,49876476,strongduanmu,1223
609,,20773773,cushon,1222
154,,126178683,JohnNiang,1221
246,,69953445,shuzheng,1218
369,,173228436,dragonmacher,1217
2667,,16977479,sberyozkin,1214
2628,,206387,rajdavies,1211
3651,,38602457,bbakerman,1207
6233,,16389681,kstanger,1207
712,,12499251,oburn,1206
1239,,8121707,jeffgbutler,1202
3188,,2948949,ckittrell,1201
445,,75277003,ViacheslavKlimov,1200
10812,,29759715,terrelln,1199
2546,,108050,rozza,1198
707,,6358188,xvrl,1198
800,,44662669,ShadelessFox,1195
708,,6358188,fjy,1194
8513,,17089728,Nutomic,1186
565,,73614722,CarGuo,1185
610,,20773773,ulfjack,1184
1763,,8957264,msmith-techempower,1175
7686,,1968850,angryziber,1175
1473,,36817565,kingthorin,1174
2302,,1450115,jfarcand,1170
3274,,83799439,vinitnayak7,1165
688,,25459400,koo-taejin,1164
80,,8205602,hazendaz,1164
1256,,50205233,gunnarmorling,1162
7540,,28836678,cpfeiffer,1156
7646,,9653752,ibauersachs,1153
8614,,101408117,DanHeidinga,1152
845,,19369035,LowWeiLin,1152
3736,,9759448,alena11081,1149
3914,,88024517,areyouok,1148
388,,149121954,prrace,1147
389,,149121954,jddarcy,1146
3344,,33745913,andreitokar,1146
5211,,1051476,arnaudroques,1145
1160,,70780002,filiphr,1144
7732,,9342529,msbt,1143
1025,,46398090,hsheth2,1140
2818,,40213809,lognaturel,1136
2629,,206387,dejanb,1135
3647,,17960746,Nehon,1132
751,,62117812,merlimat,1132
2105,,127906883,lijiangbo,1130
1428,,20324739,knightliao,1127
26,,4710920,chickenlj,1127
1287,,17634071,stefan-kolb,1124
390,,149121954,shipilev,1122
2767,,5244445,mfietz,1122
3312,,930571,mswiderski,1120
7057,,24217298,MarcinOrlowski,1118
1433,,300506962,tarunsinghofficial,1116
739,,206424,krummas,1116
1267,,1381673,ge0ffrey,1115
454,,2493904,fhanik,1115
2998,,191744942,shifujun,1115
1288,,17634071,simonharrer,1115
7070,,7083240,wolf4ood,1113
2409,,7420937,menski,1112
3524,,100753606,ConfluentSemaphore,1111
391,,149121954,coleenp,1111
2760,,115411826,sean-liu55,1110
937,,41889031,TobiGr,1109
27,,4710920,AlbumenJ,1105
3142,,30860673,carlossg,1105
275,,919161,damellis,1099
2761,,115411826,xxo1shine,1097
2410,,7420937,tasso94,1095
8759,,105117953,yangchong211,1092
72,,20587599,aljoscha,1091
938,,41889031,Stypox,1090
2090,,19082715,mar-v-in,1086
3441,,160779969,junixapp,1082
534,,85371262,williamfiset,1079
1993,,7905539,koral--,1076
1735,,2928948,anuchandy,1072
2171,,656227652,shanhexi,1070
1514,,2003641,frantuma,1064
3442,,198368711,peacewong,1063
7809,,323996203,AriaMoradi,1063
328,,5373551,xoppa,1060
4108,,30561160,osheroff,1059
3944,,69400326,big-andy-coates,1057
2207,,33816473,rnorth,1056
2630,,206387,jbonofre,1055
2597,,38829639,fusesource-ci,1054
771,,961036,Sanne,1054
2153,,2442457,aBabiichuk,1053
3872,,124230204,sdelamo,1049
7230,,8161461,ikarus23,1049
5864,,15155534,marques-work,1039
678,,3695744,commonsguy,1038
939,,41889031,theScrabi,1036
2254,,48418599,keithwoodlock,1034
1903,,2019791,wwillard7800,1033
3346,,247659028,KFCFans,1031
415,,5349565,cberner,1031
95,,561730219,krahets,1031
3103,,17662022,ghubstan,1031
7400,,87859908,izeye,1030
7637,,381857226,timotheeguerin,1030
691,,31533997,oprisnik,1026
120,,47023603,xuxueli,1019
907,,22254856,joshiste,1018
3189,,2948949,jfleschler,1017
1444,,50160261,Machine-Maker,1016
3462,,9504214,cjhopman,1013
10683,,10744183,Ferroin,1012
81,,8205602,emacarron,1011
713,,12499251,rnveach,1011
3712,,19730456,romanman,1008
486,,206444,sershe-apache,1007
3536,,18845024,dimvar,998
1660,,4787136,ewpatton,995
7733,,9342529,matriv,993
7760,,453313251,cinit,992
1912,,87683712,zq2599,992
379,,66023605,brmur,992
3573,,4950187,marchof,991
4188,,17488986,spyhunter99,991
2156,,117774290,zuihou,982
689,,25459400,jaehong-kim,981
73,,20587599,twalthr,980
2,,9754983,kwoyke,978
1128,,206483,jdcasey,977
3537,,18845024,concavelenz,977
5440,,65757761,alexbakker,977
2298,,10637896,jvz,975
2975,,21180741,tadgh,975
2399,,5537121,koush,972
829,,20089857,apurtell,972
2768,,5244445,TomHennen,971
1748,,6220644,tfmorris,969
338,,2862290,nostra13,965
1605,,12035487,ctiao,965
2186,,10873724,joelittlejohn,964
1636,,317888,petershin,963
8357,,72889410,iloveeclipse,958
8615,,101408117,gacholio,957
74,,206462776,GrowingGit,955
690,,25459400,denzelsN,945
366,,3148979,sjohnr,943
2995,,3743376,mdiggory,940
1007,,3523632,calvin1978,939
1116,,27911088,exceptionfactory,938
3195,,17359057,Randgalt,938
2220,,91065402,Justson,936
6317,,23439463,jbachorik,932
